Date,Open,High,Low,Close,Adj Close,Volume,Dnevna rast,Povprečje,Rast v %
2018-01-25,1063.22,1104.66,1034.74,1056.03,1056.03,4050190080,-7.19,1059.625,-0.6762
2018-01-26,1052.7,1080.6,996.784,1055.17,1055.17,3617690112,2.47,1053.935,0.2346
2018-01-27,1055.75,1121.98,1042.12,1107.0699,1107.0699,3002870016,51.3199,1081.41,4.861
2018-01-28,1111.78,1257.77,1111.78,1246.01,1246.01,5372329984,134.23,1178.895,12.0734
2018-01-29,1246.7,1256.7,1169.08,1182.36,1182.36,3715079936,-64.34,1214.53,-5.1608
2018-01-30,1184.13,1184.63,1058.97,1071.13,1071.13,4107859968,-113.0,1127.63,-9.5429
2018-01-31,1071.09,1128.66,1034.5,1118.3101,1118.3101,3757560064,47.2201,1094.7,4.4086
2018-02-01,1119.37,1161.35,984.819,1036.79,1036.79,5261680128,-82.58,1078.08,-7.3774
2018-02-02,1035.77,1035.77,757.98,915.785,915.785,6713290240,-119.985,975.7775,-11.5841
2018-02-03,919.211,991.943,847.69,964.019,964.019,3243480064,44.808,941.615,4.8746
2018-02-04,964.667,969.032,805.064,834.682,834.682,2997090048,-129.985,899.6745,-13.4746
2018-02-05,834.958,856.646,644.599,697.951,697.951,4269530112,-137.007,766.4545,-16.4088
2018-02-06,707.737,796.439,574.419,793.122,793.122,6518269952,85.385,750.4295,12.0645
2018-02-07,790.428,851.2,723.433,757.068,757.068,3896179968,-33.36,773.748,-4.2205
2018-02-08,755.843,845.086,755.843,817.807,817.807,3708189952,61.964,786.825,8.198
2018-02-09,818.48,884.004,788.834,883.865,883.865,2495820032,65.385,851.1725,7.9886
2018-02-10,882.467,917.4,825.577,860.415,860.415,2930530048,-22.052,871.441,-2.4989
2018-02-11,859.288,859.288,788.222,814.66,814.66,2486650112,-44.628,836.974,-5.1936
2018-02-12,817.508,875.937,817.508,868.707,868.707,2243450112,51.199,843.1075,6.2628
2018-02-13,869.293,870.709,828.837,845.258,845.258,2081170048,-24.035,857.2755,-2.7649
2018-02-14,844.279,926.429,844.279,923.561,923.561,2818370048,79.282,883.92,9.3905
2018-02-15,923.728,951.948,911.111,936.976,936.976,2900100096,13.248,930.352,1.4342
2018-02-16,934.786,950.005,917.848,944.21,944.21,2369449984,9.424,939.498,1.0081
2018-02-17,944.748,976.595,940.754,974.115,974.115,2525720064,29.367,959.4315,3.1084
2018-02-18,973.349,982.933,915.445,923.921,923.921,2567290112,-49.428,948.635,-5.0781
2018-02-19,921.668,957.777,921.554,943.865,943.865,2169019904,22.197,932.7665,2.4084
2018-02-20,943.567,965.265,892.954,895.371,895.371,2545260032,-48.196,919.469,-5.1079
2018-02-21,894.135,912.375,830.563,849.971,849.971,2531729920,-44.164,872.053,-4.9393
2018-02-22,849.262,875.926,802.668,812.845,812.845,2150370048,-36.417,831.0535,-4.2881
2018-02-23,811.585,886.318,794.791,864.189,864.189,2334820096,52.604,837.887,6.4816
2018-02-24,861.593,879.531,818.55,840.515,840.515,1926579968,-21.078,851.054,-2.4464
2018-02-25,839.459,853.146,822.381,844.81,844.81,1646960000,5.351,842.1345,0.6374
2018-02-26,845.278,880.392,842.319,869.315,869.315,2044480000,24.037,857.2965,2.8437
2018-02-27,870.365,896.259,867.097,878.265,878.265,2053980032,7.9,874.315,0.9077
2018-02-28,877.934,890.108,855.124,855.199,855.199,1963980032,-22.735,866.5665,-2.5896
2018-03-01,856.012,880.302,851.92,872.2,872.2,1868519936,16.188,864.106,1.8911
2018-03-02,871.764,876.378,852.422,856.853,856.853,1894419968,-14.911,864.3085,-1.7104
2018-03-03,856.711,868.454,855.207,857.225,857.225,1699369984,0.514,856.968,0.06
2018-03-04,856.186,867.95,840.28,866.678,866.678,1697939968,10.492,861.432,1.2254
2018-03-05,866.846,869.92,853.52,853.684,853.684,1898489984,-13.162,860.265,-1.5184
2018-03-06,853.817,853.817,809.931,816.951,816.951,1943069952,-36.866,835.384,-4.3178
